,Brand,Series,Package Dimensions,Resolution,Processor Brand,Processor Type,Processor Speed,Processor Count,RAM Size,Hard Drive Size,Hard Disk Description,Graphics Chipset Brand,Item Weight,Color,Availability Date,Rating,Number Of Ratings,Price
0,ASUS,ROG Strix SCAR 17 G733PY-LL009W,30 x 13 x 3 cm; 200 Grams,,AMD,Ryzen 9,2.5,1,,,SSD,NVIDIA,200 g,Off Black,7 December 2023,,,174009
1,Apple,,43 x 33 x 10 cm; 3.23 Kilograms,,Apple,Apple M1,1,12,1 TB,1 TB,SSD,Apple,3.23 Kilograms,,14 February 2023,4.8,6,147999
2,Apple,MacBook,39.6 x 31.2 x 9.2 cm; 3.29 Kilograms,,Apple,Apple M1,1,10,512 GB,512 GB,SSD,Apple,3.29 Kilograms,Space Grey,14 February 2023,4.5,35,119999
3,HP,"HP Envy 16""",49.5 x 35.7 x 6.7 cm; 2.34 Kilograms,2560x1600 Pixels,Intel,Intel Core i9,4.1 GHz,14,,1 TB,1 TB PCIe Gen4 NVMe TLC M.2 SSD,NVIDIA,2.34 Kilograms,Natural silver aluminum,6 November 2023,,,109166
4,ASUS,90NR0CZ1-M003S0,65 x 60 x 60 cm; 1.8 Kilograms,,Intel,Core i3-9300T,3 GHz,1,,,SSD,AMD,1.8 Kilograms,Gray,2 August 2023,,,106360
5,HP,HP Envy,,2560x1600 Pixels,Intel,Intel Core i9,4.1 GHz,14,16 GB,1 TB,1 TB PCIe Gen4 NVMe TLC M.2 SSD,NVIDIA,2.34 Kilograms,Natural silver aluminum,6 November 2023,4.5,2,99159
6,Apple,"2021 Apple MacBook Pro (14-inch, Ap",,,Apple,Apple M1,3.2 GHz,10,16 GB,512 GB,,Apple,2.65 Kilograms,Space Gray,24 November 2021,4.7,59,95550
7,Apple,,,,Apple,Intel Core i9,2.6 GHz,10,16 GB,1 TB,,Apple,2.65 Kilograms,Silver,24 November 2021,4.6,28,94999
8,ASUS,G533QS-HF017T,58 x 35 x 8 cm; 2 Kilograms,,Intel,Ryzen Threadripper 1920X,3 GHz,1,32 GB,1 TB,SSD,NVIDIA,2 Kilograms,Black,15 June 2022,1.0,1,93517
9,Lenovo,Legion Pro 5 16IRX8 - 82WK008RAX,54 x 35.1 x 8.4 cm; 2.55 Kilograms,2560x1600 Pixels,"Intel® Core™ i7-13700HX, 16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",Intel Core i7,2.1 GHz,16,16,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,NVIDIA,2.55 Kilograms,Onyx Grey,7 October 2023,,,93441
10,Lenovo,Legion Pro 5 16IRX8,58 x 35 x 10 cm; 2.55 Kilograms,2560x1600 Pixels,"Intel® Core™ i7-13700HX, 16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",Intel Core i7,2.1 GHz,16,,1 TB,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,NVIDIA,2.55 Kilograms,Onyx Grey,19 November 2023,,,93441
11,Lenovo,Yoga,47.2 x 31.6 x 7.6 cm; 2.69 Kilograms,,Intel,,,,16 GB,1 TB,solid state drive,Intel,2.69 Kilograms,,13 April 2021,,,92411
12,MSI,,,,Intel,,2.4 GHz,8,32 GB,1 TB,SSD,NVIDIA,2.1 Kilograms,teal,12 June 2022,3.5,13,51999.
13,Lenovo,82HU00VCED,49.9 x 40.2 x 12.6 cm; 2 Kilograms,,Intel,Core i7-660UM,3 GHz,1,16 GB,,SSD,NVIDIA,2 Kilograms,Grey,8 April 2023,,,88810
14,Lenovo,Legion,54.2 x 38.9 x 8.4 cm; 4.38 Kilograms,,Intel,Core i7 Family,4.6 GHz,8,16 GB,1 TB,SSD,NVIDIA,4.38 Kilograms,,30 May 2022,,,78320
15,Apple,,42.79 x 32.2 x 8.9 cm; 3.04 Kilograms,,,,8 GHz,8,8,256 GB,,,3.04 Kilograms,,18 June 2023,5.0,1,50255.
16,Apple,,43 x 32.4 x 9 cm; 3.04 Kilograms,,Apple,,8 GHz,8,8,256 GB,,Apple,3.04 Kilograms,red,18 June 2023,4.3,8,94999.
17,Lenovo,Legion 5 Pro 16ACH6H,60 x 30 x 8 cm; 2.5 Kilograms,,AMD,AMD Ryzen 7 5800H,4.4 Hz,8,8,1 TB,SSD,AMD,2.5 Kilograms,black,7 December 2022,,,77165
18,LENOVO,Lenovo LOQ 15IRX9,58 x 35 x 10 cm; 2.4 Kilograms,1920x1080 Pixels,"Intel Core i7-13650HX, 14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",Intel Core i7,2.6 GHz,14,,1 TB,"1TB SSD M.2 PCIe® 4.0x4 NVMe®, SSD",NVIDIA,2.4 Kilograms,Storm Grey,14 December 2023,,,76500
19,HP,"HP OMEN 16""",54.9 x 35.29 x 6.7 cm; 2.35 Kilograms,2560x1440 Pixels,Intel,Intel Core i9,3.8 GHz,14,,1 TB,1 TB PCIe NVMe TLC M.2 SSD,NVIDIA,2.35 Kilograms,Black,6 November 2023,,,74769
20,Lenovo,Legion7,50.1 x 40 x 12.3 cm; 5.02 Kilograms,,Intel,Intel Core i7,4.6 GHz,8,32 GB,2 TB,SSD,NVIDIA,5.02 Kilograms,,7 February 2022,2.6,5,73438
21,MSI,Alder Lake i7-12700H,52.2 x 43 x 9.7 cm; 2 Kilograms,,Intel,Core i7 4770,3 GHz,1,,1 TB,SSD,NVIDIA,2 Kilograms,Silver,16 July 2022,,,69999
22,ASUS,FX507ZV4-LP007W,43.1 x 31.3 x 10.4 cm; 3 Kilograms,,Intel,Core i7,2.3,1,16,512 GB,SSD,NVIDIA,3 Kilograms,Jaeger Gray,17 August 2023,,,47061.
23,HP,HP OMEN,55 x 35 x 9 cm; 2.35 Kilograms,2560x1440 Pixels,Intel,Intel Core i9,3.8 GHz,14,16 GB,1 TB,1 TB PCIe NVMe TLC M.2 SSD,NVIDIA,2.35 Kilograms,Black,9 October 2023,3.9,3,69996
24,DELL,Dell G15 5530 Gaming,49.5 x 34.9 x 7.4 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Grey,13 November 2023,,,68918
25,DELL,Dell G15 5530 Gaming,48.2 x 34.79 x 7.6 cm; 2.65 Kilograms,1920x1080 Pixels,Intel,Intel Core i7,2.6 GHz,14,,1 TB,SSD,NVIDIA,2.65 Kilograms,Dark Shadow Grey,13 November 2023,,,68918
