Location,Details,Space,Bedrooms,Bathrooms,Description,Price
القطامية,دوبلكس للبيع 180 متر مدينه النخيل بالم سيتي علي الشارع الرءيسي تشطيب مميز,180,4,3,٤ غرف نوم | ٣ حمّامات ,2800000
التجمع الخامس,امتلك شقتك بي سعر الطرح بتقسيط علي 10 سنوات,129,2,2,٢ غرفتا نوم | حمّامين ,20000
المعادي,شقه  سوبر لوكس بسعر رائع قبل ارتفاع الاسعار,110,3,2,٣ غرف نوم | حمّامين ,1450000
أخرى,مدينه الفردوس,220,3,3,٣ غرف نوم | ٣ حمّامات ,2500000
مدينة نصر,500 شقه للبيع للاستثماى,250,3,2,٣ غرف نوم | حمّامين ,0
الزيتون,شقه للبيع بالزيتون,170,3,2,٣ غرف نوم | حمّامين ,0
القاهرة الجديدة,استلم شقتك فوري في مستقبل سيتي ، بالقاهرة الجديدة بمقدم 10% فقط,163,3,2,٣ غرف نوم | حمّامين ,500000
مدينة نصر,دوبلكس في مكرم عبيد الرئيسي,500,5,5,٥ غرف نوم | ٥ حمّامات ,7000000000
مدينة بدر,شقه للبيع في الحي المتميز مدينه بدر من المالك,150,3,2,٣ غرف نوم | حمّامين ,900000
التجمع الخامس,دوبلكس للبيع فى الياسمين 8,400,3,3,٣ غرف نوم | ٣ حمّامات ,4250
مصر الجديدة,"شقة للبيع في مساكن شيراتون ف
المساحة 110 م",110,3,1,٣ غرف نوم | حمّام ,1500000
مدينة نصر,شقة 180 متر للبيع بالمنطقة الثامنة ترى السراج مول,180,2,3,٢ غرفتا نوم | ٣ حمّامات ,2400000
المستقبل,شقة 122م معاها جاردن 53م تحفة /لقطة للبيع / وبالتقسيط علي 8 سنين,123,2,2,٢ غرفتا نوم | حمّامين ,600000
مدينة الشروق,للجادين فقط شقة للبيع في الشروق المنطقه الخامسة/,150,3,2,٣ غرف نوم | حمّامين ,1100000
مدينة نصر,شقه للبيع مدينه نصر شارع معز الدولة من مكرم عبيد,155,3,1,٣ غرف نوم | حمّام ,2200000
المستقبل,بسعر لقطة / شقة 160م للبيييع / في كمبوند مميز,140,3,2,٣ غرف نوم | حمّامين ,600000
