Job Title,Company,Location,Time Of Work,Job Description
Data Science Intern,Merck Sharp & Dohme Corp -,"Dubai, United Arab Emirates ",Full Time,Not specified · Administration · IT/Software Development · Engineering - Telecom/Technology · Administration · Data Entry · Microsoft Office · Data Science · Information Technology (IT) · Computer Science · Science
Product Owner (Data Science & Machine Learning within Fraud),Callsign -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Agile · Software Development · Business Analysis · Engineering · Computer Engineering
Data Analyst,2CooM -,"6th of October, Giza, Egypt ",Full Time,Experienced · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Analyst · Computer Science · Data Analyst · Python · SQL
Oracle Data Platform Supervisor,e-finance -,"6th of October, Giza, Egypt ",Full Time,Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Oracle · Mysql Database · Databases · Oracle Database · Oracle Database 11g · Oracle Database 10g
Senior Data Engineer - Remote,GetTechForce.com -,"Cairo, Egypt ",Work From Home,Manager · 3+ Yrs of Exp · IT/Software Development · Python · Java · SQL · Big Data · Information Analysis · Computer Science
Senior Data & Analytics Specialist,Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Microsoft Office · Software Development · Software Engineering
Data Analytics Intern,Merck Sharp & Dohme Corp -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · SQL · Analysis · Data Analytics · BI · Data Analysis
Data Governance Manager,Foreground Consultancy -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Microsoft Office · Data Management · Engineering · Management · SQL
Data Warehousing - Oil Gas,BD SELECT -,"Doha, Qatar ",Full Time,Not specified · IT/Software Development · Logistics/Supply Chain · Engineering - Telecom/Technology · Data Warehousing · Computer Science · Information Technology (IT) · SQL · Logistics · Warehousing · ETL
Data Solution Architect,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 5 - 8 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Architecture · AWS · Azure · Cloud · Computer Engineering · Computer Science · Data Modeling
Data Management Consultant,Sceel.io -,"Maadi, Cairo, Egypt ",Full Time,Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Communication · Computer Science · Data Management · Data Modeling · Data · ETL · Information Technology (IT)
Data Analyst Specialist,Almoosa Specialist Hospital -,"Riyadh, Saudi Arabia ",Full Time,Not specified · Administration · IT/Software Development · Analyst/Research · Microsoft Office · Data Entry · Administration · Data Analysis · Analysis · Computer Science · Information Technology (IT)
Senior Data Architect/Modeler,eT3 - Tomorrow Information Technology -,"New Cairo, Cairo, Egypt ",Full Time,Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Data Modeling · data quality · Data Warehousing · SQL · Modeling · Erwin · data quality management
Quality Assurance Executive (data analysis- internal auditing),BayanTech -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Quality · QA · Computer Science · Engineering · Information Technology (IT)
Snr Data Center Project Engineer,Amazon Data Services Emirates LLC - Dubai Branch - K71 -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Data Center · EMC · Cisco · IBM
Principal - Data & Services Business Development,OA- Mastercard -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Teaching · Computer Science · Information Technology (IT) · Engineering · Management · Administration
"Technical Sales Leader - Data&AI, Automation - UAE",Gulf Business Machines PND -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Mechanical/Electrical · Sales · Sales Skills · Sales Target · Real Estate · Engineering · Customer Service · Customer Support
Technology Sales SME Data&AI MEA,Gulf Business Machines PND -,"Dubai, United Arab Emirates ",Full Time,Not specified · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · information technology (it) · computer science · sales · sales skills · software · marketing · ai
Manager IT Data Engineering,Charterhouse Middle East -,"Dubai, United Arab Emirates ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · Data Management
Engineering Data Analyst (Digital Twin),KBR Inc. -,"Riyadh, Saudi Arabia ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Data Analysis · Analysis · Engineering · SQL · Microsoft Office
Specialist Big Data Administrator - SWDC,Giza Arabia Systems -,"Cairo, Egypt ",Full Time,Not specified · Administration · Human Resources · IT/Software Development · administration · microsoft office · business administration · information technology (it) · computer science · english · communication skills
Master Data Supervisor,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 6 - 8 Yrs of Exp · Sales/Retail · Computer Science · Data Management · Master Data · Master Data Management · Computer Engineering · Data · Management · Information Technology (IT)
"Data Centre Technician - UAE National Only, DCO",ADS Emirates LLC (Dubai South On-Shore Branch) -,"Dubai, United Arab Emirates ",Full Time,Not specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Mechanical/Electrical · engineering · information technology (it) · computer science · maintenance · installation · networking · troubleshooting
Data Engineer,DXC.technology -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL
Data Engineer-Data Integration,IBM WTC Egypt -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · SQL · Software Engineering · Computer Engineering · Software Development
Data Analysis Supervisor,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt ",Full Time,Experienced · 6 - 8 Yrs of Exp · Analyst/Research · Sales/Retail · Analysis · Administration · Data Analysis · Finance · business · Sales Analysis · Microsoft Excel · Data
Master Data Analyst,Johnson & Johnson -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel
Programme Assistant (Data Analyst),World Food Program - Other locations -,"Cairo, Egypt ",Full Time,Not specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · computer science · teaching · education · information technology (it) · design · english · management
Data Analysis Quality Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt) -,"Ameria, Alexandria, Egypt ",Internship,Entry Level · Quality · Analyst/Research · Analysis · Computer Engineering · Computer Science · Data Analysis · quality · SQL · Data
